Data Publisher	Dataset	Dataset Rights	Scientific name	Scientific name (interpreted)	Latitude	Longitude	GBIF portal url	
HERBARIUM AMAZONENSE – AMAZ	Herbarium Amazonense		Tabernaemontana markgrafiana	Tabernaemontana markgrafiana			http://data.gbif.org/occurrences/373574616
National Museum of Nature and Science, Japan	Ibaraki Nature Museum, Vascular Plants collection		Cynanchum caudatum (Miq.) Maxim.	Cynanchum caudatum (Miq.) Maxim.			http://data.gbif.org/occurrences/381801569
South African National Biodiversity Institute	Precis Plant Data		Gomphocarpus filiformis	Gomphocarpus filiformis			http://data.gbif.org/occurrences/412182342
South African National Biodiversity Institute	Precis Plant Data		Asclepias aurea	Asclepias aurea			http://data.gbif.org/occurrences/412182470
South African National Biodiversity Institute	Precis Plant Data		Gomphocarpus tomentosus subsp. tomentosus	Gomphocarpus tomentosus subsp. tomentosus			http://data.gbif.org/occurrences/412183828
South African National Biodiversity Institute	Precis Plant Data		Ceropegia linearis subsp. woodii	Ceropegia linearis subsp. woodii			http://data.gbif.org/occurrences/412186445
South African National Biodiversity Institute	Precis Plant Data		Acokanthera oblongifolia	Acokanthera oblongifolia			http://data.gbif.org/occurrences/412186712
South African National Biodiversity Institute	Precis Plant Data		Asclepias affinis	Asclepias affinis			http://data.gbif.org/occurrences/412187250
South African National Biodiversity Institute	Precis Plant Data		Asclepias adscendens	Asclepias adscendens			http://data.gbif.org/occurrences/412187378
South African National Biodiversity Institute	Precis Plant Data		Asclepias fallax	Asclepias fallax			http://data.gbif.org/occurrences/412187393
South African National Biodiversity Institute	Precis Plant Data		Acokanthera rotundata	Acokanthera rotundata			http://data.gbif.org/occurrences/412187660
